beginline,endline,begincolumn,endcolumn,rule,ruleset,package,class,externalInfoUrl,priority,violation_Text,file_Id
"174","174","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"207","207","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"207","207","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"223","223","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"223","223","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"256","256","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"256","256","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"272","272","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"272","272","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"305","305","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"305","305","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"321","321","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"321","321","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","AntLog","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",0
"280","280","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",1
"280","280","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",1
"372","372","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",1
"428","428","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",1
"461","461","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",1
"461","461","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ExtendedParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",1
"302","302","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",2
"302","302","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",2
"374","374","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"374","374","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"386","386","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"386","386","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"387","387","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"420","420","0","0","UnnecessaryParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/unnecessary.html#UnnecessaryParentheses","4","\nThis statement may have some unnecessary parentheses\n",2
"420","420","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"440","440","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"440","440","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"441","441","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"473","473","0","0","UnnecessaryParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/unnecessary.html#UnnecessaryParentheses","4","\nThis statement may have some unnecessary parentheses\n",2
"473","473","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"494","494","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",2
"550","550","0","0","AvoidPrefixingMethodParameters","Controversial","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/controversial.html#AvoidPrefixingMethodParameters","4","\nAvoid prefixing parameters by in, out or inOut. Uses Javadoc to document this behavior.\n",2
"583","583","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"583","583","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.ant","ParserTask","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",2
"38","38","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","EmptyList","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",3
"38","38","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","EmptyList","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",3
"62","62","0","0","GuardLogStatement","Jakarta Commons Logging","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/logging-jakarta-commons.html#GuardLogStatement","2","\nThere is log block not surrounded by if\n",4
"114","114","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"114","114","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"199","199","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"199","199","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"200","200","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"201","201","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","FirstSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",4
"62","62","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'I' starts with uppercase character.\n",5
"81","81","0","0","AvoidThrowingNullPointerException","Strict Exceptions","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/strictexception.html#AvoidThrowingNullPointerException","1","\nAvoid throwing null pointer exceptions.\n",5
"84","84","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"84","84","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"104","104","0","0","AvoidThrowingNullPointerException","Strict Exceptions","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/strictexception.html#AvoidThrowingNullPointerException","1","\nAvoid throwing null pointer exceptions.\n",5
"107","107","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"107","107","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"132","132","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'I' starts with uppercase character.\n",5
"196","196","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"196","196","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"224","224","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"225","225","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"225","225","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"225","225","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"251","251","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"322","323","0","0","AssignmentInOperand","Basic Ecmascript","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/basic.html#AssignmentInOperand","2","\nAvoid assignments in operands\n",5
"335","337","0","0","AssignmentInOperand","Basic Ecmascript","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/basic.html#AssignmentInOperand","2","\nAvoid assignments in operands\n",5
"335","336","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"337","337","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"349","351","0","0","AssignmentInOperand","Basic Ecmascript","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/basic.html#AssignmentInOperand","2","\nAvoid assignments in operands\n",5
"349","350","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"351","351","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"361","363","0","0","AssignmentInOperand","Basic Ecmascript","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/basic.html#AssignmentInOperand","2","\nAvoid assignments in operands\n",5
"361","362","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"363","363","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"376","376","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'J' starts with uppercase character.\n",5
"423","423","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"423","423","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"463","463","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'J' starts with uppercase character.\n",5
"553","553","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"626","626","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"626","626","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ItemSet","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",5
"75","75","0","0","ConstructorCallsOverridableMethod","Design","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/design.html#ConstructorCallsOverridableMethod","1","\nOverridable method 'getItemSetCount' called during object construction\n",6
"79","79","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'I' starts with uppercase character.\n",6
"86","86","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'J' starts with uppercase character.\n",6
"122","122","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'J' starts with uppercase character.\n",6
"159","159","0","0","ConstructorCallsOverridableMethod","Design","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/design.html#ConstructorCallsOverridableMethod","1","\nOverridable method 'getItemSetCount' called during object construction\n",6
"164","164","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'I' starts with uppercase character.\n",6
"170","170","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'J' starts with uppercase character.\n",6
"199","199","0","0","VariableNamingConventions","Naming","net.sourceforge.chaperon.build","ItemSetCollection","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/naming.html#VariableNamingConventions","1","\nVariables should start with a lowercase character, 'I' starts with uppercase character.\n",6
"62","62","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","LexicalAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",7
"62","62","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","LexicalAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",7
"75","75","0","0","UnnecessaryParentheses","Unnecessary","net.sourceforge.chaperon.build","LexicalAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-javascript/rules/ecmascript/unnecessary.html#UnnecessaryParentheses","4","\nThis statement may have some unnecessary parentheses\n",7
"75","75","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","LexicalAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",7
"66","66","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"66","66","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"76","76","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"76","76","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"80","80","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"80","80","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"84","84","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"84","84","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"88","88","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"88","88","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"91","91","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
"91","91","0","0","UselessParentheses","Unnecessary","net.sourceforge.chaperon.build","ParserAutomatonBuilder","http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/unnecessary.html#UselessParentheses","4","\nUseless parentheses.\n",8
